hour,temperature_C,temp_layer2,temp_layer5,temp_layer10,h_ML,Q_flux,salinity
0,-0.9088734,-0.9125876,-0.93325406,-0.99082637,9.672454,116.32498168945312,34.213562
1,-0.90592,-0.9097996,-0.92476106,-0.99081624,9.31359,116.14415073394775,34.21332
2,-0.9019796,-0.9056021,-0.9193567,-0.9908052,8.991824,115.96331977844238,34.213207
3,-0.89830506,-0.9020107,-0.9181254,-0.99079293,8.829196,115.78248882293701,34.21313
4,-0.8945143,-0.8981447,-0.91553503,-0.9907796,8.668006,115.60165786743164,34.213078
5,-0.89081633,-0.8944015,-0.91135114,-0.9907649,8.629716,115.42082691192627,34.21304
6,-0.8869139,-0.89038813,-0.90706897,-0.99074894,8.665838,115.2399959564209,34.21301
7,-0.8827633,-0.8860899,-0.9023157,-0.9907316,8.714648,115.05916500091553,34.212986
8,-0.87857485,-0.8818105,-0.89780295,-0.99071276,8.782881,114.87833404541016,34.21297
9,-0.87426347,-0.8773813,-0.8927263,-0.99069244,8.849215,114.69750308990479,34.21296
10,-0.8699364,-0.87296075,-0.887245,-0.9906706,8.943212,114.51667213439941,34.212948
11,-0.8655836,-0.8685205,-0.8818007,-0.99064726,9.073997,114.33584117889404,34.212944
12,-0.8612084,-0.86408335,-0.8767611,-0.99062234,9.224505,114.15501022338867,34.212936
13,-0.8568662,-0.8596917,-0.8707351,-0.99059606,9.360104,113.9741792678833,34.212933
14,-0.85255736,-0.85535365,-0.8647849,-0.99056834,9.629524,113.79334831237793,34.212925
15,-0.848272,-0.85110956,-0.85899645,-0.9905392,9.973674,113.61251735687256,34.21292
16,-0.84422916,-0.8470803,-0.8547931,-0.9905085,10.080716,113.43168640136719,34.212917
17,-0.8401412,-0.84296924,-0.85042894,-0.99047625,10.109733,113.25085544586182,34.212914
18,-0.83606935,-0.8388817,-0.84626883,-0.99044245,10.141188,113.07002449035645,34.21291
19,-0.8320358,-0.83483833,-0.84218085,-0.99040705,10.170661,112.88919353485107,34.212906
