time,predicted_temperature
2026-05-31 00:00:00,26.3
2026-05-31 01:00:00,26.3
2026-05-31 02:00:00,27.38
2026-05-31 03:00:00,29.12
2026-05-31 04:00:00,30.86
2026-05-31 05:00:00,31.95
2026-05-31 06:00:00,33.25
2026-05-31 07:00:00,34.12
2026-05-31 08:00:00,34.12
2026-05-31 09:00:00,33.03
2026-05-31 10:00:00,32.16
2026-05-31 11:00:00,31.29
2026-05-31 12:00:00,31.08
2026-05-31 13:00:00,30.21
2026-05-31 14:00:00,28.9
2026-05-31 15:00:00,28.47
2026-05-31 16:00:00,28.03
2026-05-31 17:00:00,27.82
2026-05-31 18:00:00,27.82
2026-05-31 19:00:00,27.16
2026-05-31 20:00:00,26.95
2026-05-31 21:00:00,26.95
2026-05-31 22:00:00,26.51
2026-05-31 23:00:00,26.51
